jsonl_line,input_tokens,version,task,original_id
1,128,v1,multifieldqa_zh,bfa2b3ff8abc528170ad16068ab21de02fc3525c462a8510
2,128,v1,samsum,d322965a8236938c5c43026218c3b432a2116b0b8af4bbe4
3,128,v1,repobench-p,1e7411daa6824277a4cb51106fadeef33c57a8907d09f836
4,128,v1,dureader,c7bf20a55017538920236317705490072aa1454037bd24a6
5,128,v1,passage_retrieval_zh,22ef4da965127c1a82a08f8e9c0ec88784ed73843e45f011
6,128,v1,dureader,c4feb721012cbe56494d363a603de22c2a74dd4d80018b22
7,128,v1,vcsum,25735a8cabfa18a06838fd1b059453cc87b6e26ea465c203
8,128,v1,lcc,faf59e122b5cf0c3acab0447bcd6a53f208c972065c8414a
9,128,v1,qmsum,0e325eeccec748705bae070455669e5d4351660ece67c73d
10,128,v1,multifieldqa_en,470018af720bc15decf8f7a9643250c9a6548c8efeb394cd
11,128,v1,lsht,8e11aa9ce0c60cdcf47531643eceeed8d9532dcfd00b5101
12,128,v1,lcc,6b8b92b2b253189141dc998a845e117ddb34a9ced10cda39
13,128,v1,lcc,73fefc41fc5fa1c47966c4abc5dc1e78bb36629f5e868c89
14,128,v1,repobench-p,2353bc5bd36da84b23606225bee36de76e376c0408362208
15,128,v1,lcc,970d266acb1e58959ce93048f35f32055064fc1053f60014
16,128,v1,lcc,72337b5e2ebcaf24dc3e9b1e0609516992166e68a738bdea
17,128,v1,lcc,9812a3e53ee25cf9a764b1de80d781f37d829475a8bf8980
18,128,v1,multifieldqa_en,f084724966601afea0017630eeee76cf0b65099356667bc2
19,128,v1,gov_report,782123f3af90344e3508996b17d47cf959a4521d6b1886de
20,128,v1,samsum,e5b2529de4edb475662403295e8fb4c639067de48ea3fa13
21,128,v1,multi_news,bd055a3f0452f7edde9adca712d720fc631bd09ebc59f476
22,128,v1,passage_count,494cc175f26ba8a3d54ff7016ede86cc2c6eb6652c759f48
23,128,v1,qasper,c2df5ec4b6b7dd1c56e05d6b3c0e244d0c44d68f117caf0e
24,128,v1,hotpotqa,a18c0ece7c2ae88d2f9f3ffc5eaa13297a1b5d0125a172ad
25,128,v1,samsum,f176618a09a3e841b345cfe2fa932acb21790c0da87259a1
26,128,v1,qmsum,2befdd68a14b01e6a7ee21cf4e8118c64704869306ed4c6a
27,128,v1,multifieldqa_en,910c9a02ee857c1019702818b6fa2d5c25ed432d08385ba8
28,128,v1,vcsum,5c104bb8a3d8dc2c9279098e2ca7cb99b4b128783bddb600
29,128,v1,musique,ac92ae6728bdfb340f9270a188da65795eec3273550ca498
30,128,v1,qmsum,94d06273bc4b8766ac8b9eef7ff2b8c2a31e32cf54896a93
31,128,v1,trec,f76354a020721f6b01013a7a6de69ac67d8252e39561572d
32,128,v1,vcsum,837aefcec283e7058bb3a5cd3cd7a8b7a1c5622406791927
33,128,v1,passage_retrieval_en,b3b50664aa10d1a972da79a46bfc5af0ed460d0344c4f5c6
34,128,v1,samsum,4d088d03f6793851554a7cc0da295d3039bb246c521eaa39
35,128,v1,musique,0b0d46b9b937c43da535ef8109b75a460051e57f97a3f7a2
